masterid,stationcode,stationname,latitude,longitude,huc,smcshed,smc_lu,comid,class_do,sampledate,replicate,csci,count,pcnt_ambiguous_individuals,pcnt_ambiguous_taxa,ASCI_D,ASCI_H
404R4S089,404R4S089,Centinela Creek,33.98426,-118.41426,404,Santa Monica Bay,Urban,20366115,Hard bottom,2015-05-28T07:00:00Z,1,0.32070808,585,0,0,0.865700993339218,0.781488807380574
405M10596,405M10596,Cerritos Channel d/s of LB Airport,33.81024,-118.12821,405,San Gabriel,Urban,22525159,Hard bottom,2015-04-27T07:00:00Z,1,0.31429106,590,0.16949153,7.14285714,0.937718548084672,0.964943987893777
801M12617,801M12617,At 405 near Sand Cyn,33.65489,-117.77451,801,Lower Santa Ana,Urban,20355456,Hard bottom,2015-04-30T07:00:00Z,1,0.41822352,609,0.32840722,11.11111111,1.16076783398476,1.08707954763377
801M12625,801M12625,Santa Ana River at I-405,33.69499,-117.93471,801,Lower Santa Ana,Urban,22563212,Hard bottom,2015-07-01T07:00:00Z,1,0.39339425,594,1.17845118,5.88235294,0.983835574082811,0.965833968661423
801M12652,801M12652,,33.71785,-117.997,801,Lower Santa Ana,Urban,20361330,Hard bottom,2017-05-18T07:00:00Z,1,0.45499584,594,0,0,0.938464842935469,0.853740017895094
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,1,0.5135158,692,1.30057803,13.63636364,0.879808033703665,0.960365779998949
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,2,0.61216108,621,0.64412238,8.69565217,0.819095883318438,0.915662050646344
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,1,0.5135158,692,1.30057803,13.63636364,0.879808033703665,0.960365779998949
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,2,0.61216108,621,0.64412238,8.69565217,0.819095883318438,0.915662050646344
907M23379,907M23379,,32.80322,-116.92425,907,Mission Bay and San Diego River,Urban,20333074,Hard bottom,2018-05-30T07:00:00Z,1,0.73743709,649,0.92449923,21.05263158,0.82771683194869,0.866285742244951
907M23379,907M23379,,32.80322,-116.92425,907,Mission Bay and San Diego River,Urban,20333074,Hard bottom,2018-05-30T07:00:00Z,1,0.19630514,519,0,0,0.82771683194869,0.866285742244951
SMC01278,SMC01278,,33.82099,-118.06645,405,San Gabriel,Urban,22524991,Hard bottom,2009-06-17T07:00:00Z,1,0.43424586,612,1.14379085,13.04347826,0.987681140181984,0.838066287663489
SMC01278,SMC01278,,33.82099,-118.06645,405,San Gabriel,Urban,22524991,Hard bottom,2016-06-23T07:00:00Z,1,0.39511754,598,0,0,0.674668802064233,0.544179152309622
SMC01278,SMC01278,,33.82099,-118.06645,405,San Gabriel,Urban,22524991,Hard bottom,2016-06-23T07:00:00Z,1,0.39511754,598,0,0,0.674668802064233,0.534168256743215
SMC01684,SMC01684,,34.27906,-118.91591,408,Calleguas,Agricultural,17563890,Hard bottom,2009-06-03T07:00:00Z,1,0.33039193,604,3.14569536,9.09090909,0.977350820025371,0.900618330011843
SMC01726,SMC01726,,33.86351,-117.98816,845,San Gabriel,Urban,22525751,Hard bottom,2019-06-06T07:00:00Z,1,0.41975936,680,6.32352941,5.26315789,0.503146049792524,0.376165009462145
SMC01726,SMC01726,,33.86351,-117.98816,845,San Gabriel,Urban,22525751,Hard bottom,2010-06-30T07:00:00Z,1,0.58888554,600,7.66666667,13.88888889,0.986732644325043,0.924830744276926
SMC01982,SMC01982,"Milan Creek, Imperial Hwy",33.91694,-118.03836,405,San Gabriel,Urban,22524963,Hard bottom,2013-06-25T07:00:00Z,1,0.43019829,599,0,0,NA,NA
SMC01982,SMC01982,"Milan Creek, Imperial Hwy",33.91694,-118.03836,405,San Gabriel,Urban,22524963,Hard bottom,2020-07-23T07:00:00Z,1,0.30908331,598,0,0,1.0365927584721,0.970692439306562
SMC02006,SMC02006,,32.83083,-116.98486,907,Mission Bay and San Diego River,Urban,20333004,Hard bottom,2009-05-26T07:00:00Z,1,0.44809955,657,0,0,0.971510147614328,0.915151551617219
SMC02417,SMC02417,,33.13385,-117.06236,904,Central San Diego,Urban,20342575,Hard bottom,2011-07-20T07:00:00Z,1,0.58477362,590,0,0,0.86972473484464,0.847786455772295
SMC02484,SMC02484,Central Branch Tujunga Wash,34.1451,-118.36764,412,Los Angeles,Urban,22514964,Hard bottom,2013-06-05T07:00:00Z,1,0.52381206,628,0.79617834,5.55555556,0.964249608624566,0.935992153728288
SMC02484,SMC02484,Central Branch Tujunga Wash,34.1451,-118.36764,412,Los Angeles,Urban,22514964,Hard bottom,2013-06-05T07:00:00Z,2,0.63798476,589,0,0,1.05579862244316,0.965783313759314
SMC02988,SMC02988,,34.16168,-117.99022,412,Los Angeles,Urban,22517996,Hard bottom,2014-06-12T07:00:00Z,1,0.63992114,606,0.66006601,8,0.831798203746929,0.813840985230612
SMC02988,SMC02988,,34.16168,-117.99022,412,Los Angeles,Urban,22517996,Hard bottom,2014-06-12T07:00:00Z,2,0.73685421,581,0,0,0.892968044242221,0.973323512931392
SMC03737,SMC03737,,33.11968,-117.09259,904,Central San Diego,Urban,20342575,Hard bottom,2012-07-06T07:00:00Z,1,0.51451461,630,0.31746032,6.25,0.984049223507072,0.978581978140035
SMC13062,SMC13062,Tecolote Creek,32.7755,-117.19557,906,Mission Bay and San Diego River,Urban,20331504,Hard bottom,2013-07-23T07:00:00Z,1,0.54252456,527,0.37950664,5,1.046310384728,1.05657575608452
