masterid,stationcode,stationname,latitude,longitude,huc,smcshed,smc_lu,comid,class_do,sampledate,replicate,csci,count,pcnt_ambiguous_individuals,pcnt_ambiguous_taxa,ASCI_D,ASCI_H
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2005-05-17T07:00:00Z,1,0.52206869,494,0,0,NA,NA
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2005-05-17T07:00:00Z,1,0.58526823,502,0.19920319,5.88235294,NA,NA
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2016-05-26T07:00:00Z,1,0.91781377,597,1.3400335,7.69230769,0.756973161563246,0.726475204530894
403M01500,403M01500,FranklinBarranca u/s of DarlingRd,34.29132,-119.14776,403,Santa Clara,Agricultural,17573685,Hard bottom,2016-06-15T07:00:00Z,1,0.4386387,635,0.15748031,4.54545455,0.778914318388709,0.879752473038559
403M01505,403M01505,Sespe Creek nr Jepson Wash,34.41709,-118.92546,403,Santa Clara,Agricultural,17574589,Soft bottom-1 hard side,2015-06-29T07:00:00Z,1,0.64750279,597,0,0,1.05292694092958,0.952601513148729
402M00110,402M00110,,34.42735,-119.30364,402,Ventura,Urban,17586760,Soft bottom-1 hard side,2019-06-10T07:00:00Z,1,0.85778013,509,2.75049116,9.30232558,0.920960812438421,0.981814854201999
404S31468,404S31468,Medea Creek (31468),34.16874,-118.76171,404,Santa Monica Bay,Urban,20364695,Soft bottom-0 hard sides,2012-06-19T07:00:00Z,1,0.41180067,615,0.16260163,6.25,0.76280675463061,0.912130676454391
405M10596,405M10596,Cerritos Channel d/s of LB Airport,33.81024,-118.12821,405,San Gabriel,Urban,22525159,Hard bottom,2015-04-27T07:00:00Z,1,0.31429106,590,0.16949153,7.14285714,0.937718548084672,0.964943987893777
801M12617,801M12617,At 405 near Sand Cyn,33.65489,-117.77451,801,Lower Santa Ana,Urban,20355456,Hard bottom,2015-04-30T07:00:00Z,1,0.41822352,609,0.32840722,11.11111111,1.16076783398476,1.08707954763377
801M12625,801M12625,Santa Ana River at I-405,33.69499,-117.93471,801,Lower Santa Ana,Urban,22563212,Hard bottom,2015-07-01T07:00:00Z,1,0.39339425,594,1.17845118,5.88235294,0.983835574082811,0.965833968661423
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,1,0.5135158,692,1.30057803,13.63636364,0.879808033703665,0.960365779998949
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,2,0.61216108,621,0.64412238,8.69565217,0.819095883318438,0.915662050646344
904M21782,904M21782,,33.15476,-117.03441,904,Central San Diego,Urban,20342575,Hard bottom,2019-06-11T07:00:00Z,1,0.5135158,692,1.30057803,13.63636364,0.879808033703665,0.960365779998949
