masterid,stationcode,stationname,latitude,longitude,huc,smcshed,smc_lu,comid,class_do,sampledate,replicate,csci,count,pcnt_ambiguous_individuals,pcnt_ambiguous_taxa,ASCI_D,ASCI_H
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2005-05-17T07:00:00Z,1,0.52206869,494,0,0,NA,NA
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2005-05-17T07:00:00Z,1,0.58526823,502,0.19920319,5.88235294,NA,NA
403CE0188,403CE0188,Santa Paula Creek ~0.6mi above Santa Clara River,34.35646,-119.04752,403,Santa Clara,Urban,17573663,Soft bottom-2 hard sides,2016-05-26T07:00:00Z,1,0.91781377,597,1.3400335,7.69230769,0.756973161563246,0.726475204530894
403M05800,403M05800,,34.52907,-118.52244,403,Santa Clara,Open,17572339,Hard bottom,2018-05-16T07:00:00Z,1,0.99655502,624,4.16666667,14.51612903,0.812277016799253,0.764693923719022
403R4S211,403R4S211,San Francisquito d/s of Power Plant,34.57232,-118.46287,403,Santa Clara,Open,17569947,Soft bottom-1 hard side,2015-04-28T07:00:00Z,1,0.86580905,502,5.57768924,15.90909091,0.652192052927129,0.814867854509423
403STC008,403STC008,Random Site 8 - Santa Clara River - A street in Fillmore,34.38667,-118.90528,403,Santa Clara,Agricultural,948070361,Soft bottom-0 hard sides,2003-02-04T08:00:00Z,1,0.65897561,908,0,0,NA,NA
403STC008,403STC008,Random Site 8 - Santa Clara River - A street in Fillmore,34.38667,-118.90528,403,Santa Clara,Agricultural,948070361,Soft bottom-0 hard sides,2001-11-06T08:00:00Z,1,0.90401691,908,0.88105727,16.27906977,NA,NA
402M00110,402M00110,,34.42735,-119.30364,402,Ventura,Urban,17586760,Soft bottom-1 hard side,2019-06-10T07:00:00Z,1,0.85778013,509,2.75049116,9.30232558,0.920960812438421,0.981814854201999
403STC090,403STC090,Random Site 90 - Santa Paula Canyon,34.37889,-119.0625,403,Santa Clara,Urban,948070346,Soft bottom-2 hard sides,2003-02-06T08:00:00Z,1,0.95659455,913,0,0,NA,NA
405BH3Bxx,405BH3Bxx,E. Fork San Gabriel within armored reach,34.23009,-117.7754,405,San Gabriel,Open,22522871,Soft bottom-1 hard side,2010-06-17T07:00:00Z,1,1.00112023,574,2.78745645,4.87804878,NA,NA
405BH2Bxx,405BH2Bxx,W. Fork San Gabriel within armored reach,34.24138,-117.86947,405,San Gabriel,Open,22522827,Soft bottom-1 hard side,2010-06-16T07:00:00Z,1,1.08555276,586,1.19453925,4.34782609,NA,NA
405PS0036,405PS0036,West Fork San Gabriel River,34.24118,-117.93426,405,San Gabriel,Open,22522825,Soft bottom-1 hard side,2016-07-11T07:00:00Z,1,0.93714314,665,1.80451128,10.16949153,0.715457591962369,0.686827100859491
405PS0036,405PS0036,West Fork San Gabriel River,34.24118,-117.93426,405,San Gabriel,Open,22522825,Soft bottom-1 hard side,2016-07-11T07:00:00Z,1,0.93714314,665,1.80451128,10.16949153,0.715457591962369,0.675997850774058
