stationcode,sampledate,evaluator,channeltype,bottom,bottomcomments,rightsideofstructure,rightsidecomments,leftsideofstructure,leftsidecomments,masterid,smc_lu,latitude,longitude,huc,class_do,class_do_f
402BA0031,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402BA0031,Open,34.44652,-119.29227,402,Natural,0
402BA0079,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402BA0079,Urban,34.41183,-119.27418,402,Natural,0
SMC00095,2022-06-27T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,402BA0095,Open,34.46328,-119.34566,402,Natural,0
SMC00143,2021-05-19T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Hard,,402BA0143,Urban,34.36483,-119.31057,402,Soft bottom-1 hard side,2
402BA0287,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402BA0287,Open,34.50284,-119.36644,402,Natural,0
402BA0335,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402BA0335,Urban,34.37965,-119.30751,402,Natural,0
402M00002,2015-08-13T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00002,Urban,34.31063,-119.29916,402,Natural,0
402M00005,2015-06-11T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00005,Open,34.51364,-119.40097,402,Natural,0
402M00009,2015-06-29T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00009,Open,34.41824,-119.37505,402,Natural,0
402M00015,2016-06-06T07:00:00Z,Karin WIsenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00015,Agricultural,34.47484,-119.29151,402,Natural,0
402M00029,2016-06-06T07:00:00Z,Karin WIsenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00029,Urban,34.35798,-119.31172,402,Natural,0
402M00030,2017-04-19T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00030,Agricultural,34.43881,-119.29959,402,Natural,0
402M00042,2017-04-19T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00042,Agricultural,34.46039,-119.28891,402,Natural,0
402M00043,2016-06-22T07:00:00Z,Brianna Jones,Natural,NA,NA,NA,NA,NA,NA,402M00043,Open,34.50161,-119.34749,402,Natural,0
402M00046,2017-04-26T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,402M00046,Urban,34.42402,-119.30011,402,Natural,0
402M00058,2019-06-10T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,402M00058,Agricultural,34.44552,-119.29586,402,Natural,0
402M00066,2018-07-23T07:00:00Z,Brianna Jones,Natural,NA,,NA,,NA,,402M00066,Urban,34.29325,-119.30742,402,Natural,0
402M00082,2018-07-23T07:00:00Z,Brianna Jones,Natural,NA,,NA,,NA,,402M00082,Urban,34.29004,-119.30801,402,Natural,0
402M00090,2020-06-04T07:00:00Z,B. Jones,Natural,NA,,NA,,NA,,402M00090,Urban,34.4462,-119.29046,402,Natural,0
402M00094,2020-06-04T07:00:00Z,B. Jones,Natural,NA,,NA,,NA,,402M00094,Agricultural,34.4411,-119.29949,402,Natural,0
402M00110,2019-06-10T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Hard,,Soft,,402M00110,Urban,34.42735,-119.30364,402,Soft bottom-1 hard side,2
402M00114,2018-06-14T07:00:00Z,Brianna Jones,Natural,NA,,NA,,NA,,402M00114,Open,34.41665,-119.37011,402,Natural,0
402M00127,2019-06-10T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,402M00127,Agricultural,34.42503,-119.26342,402,Natural,0
402M00130,2020-06-18T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,402M00130,Urban,34.30178,-119.30314,402,Natural,0
